Samples	Signature A	Signature B	Signature C	Signature D
Sample655	743	249	0	0
Sample656	820	180	0	0
Sample657	818	0	0	167
Sample658	549	0	492	0
Sample659	477	331	0	166
Sample660	0	547	248	222
Sample661	288	679	0	0
Sample662	309	660	0	0
Sample663	642	222	0	151
Sample664	790	195	0	0
Sample665	383	295	0	338
Sample666	250	755	0	0
Sample667	467	0	565	0
Sample668	989	0	0	0
Sample669	435	258	0	314
Sample670	520	495	0	0
Sample671	304	690	0	0
Sample672	781	227	0	0
Sample673	775	217	0	0
Sample674	508	234	0	266
Sample675	843	0	0	142
Sample676	439	285	0	292
Sample677	1015	0	0	0
Sample678	511	256	0	241
Sample679	772	0	0	203
Sample680	850	0	0	129
Sample681	741	259	0	0
Sample682	699	293	0	0
Sample683	724	261	0	0
Sample684	786	206	0	0
Sample685	296	715	0	0
Sample686	624	0	247	137
Sample687	666	0	220	122
Sample688	799	193	0	0
Sample689	801	207	0	0
Sample690	0	649	211	157
Sample691	736	0	235	0
Sample692	718	0	290	0
Sample693	749	237	0	0
Sample694	795	205	0	0
Sample695	759	241	0	0
Sample696	985	0	0	0
Sample697	401	576	0	0
Sample698	815	0	0	166
Sample699	0	744	264	0
Sample700	403	631	0	0
Sample701	784	231	0	0
Sample702	720	293	0	0
Sample703	452	326	0	235
Sample704	805	209	0	0
Sample705	403	565	0	0
Sample706	736	0	264	0
Sample707	872	0	0	117
Sample708	389	598	0	0
Sample709	264	0	524	213
Sample710	772	0	206	0
Sample711	328	659	0	0
Sample712	0	254	516	211
Sample713	989	0	0	0
Sample714	418	597	0	0
Sample715	728	299	0	0
Sample716	725	275	0	0
Sample717	410	0	562	0
Sample718	0	722	258	0
Sample719	457	577	0	0
Sample720	603	0	209	173
Sample721	787	200	0	0
Sample722	222	537	256	0
Sample723	732	281	0	0
Sample724	1015	0	0	0
Sample725	326	675	0	0
Sample726	252	715	0	0
Sample727	730	258	0	0
Sample728	731	285	0	0
Sample729	386	320	280	0
Sample730	362	621	0	0
Sample731	410	624	0	0
Sample732	763	229	0	0
Sample733	732	254	0	0
Sample734	705	278	0	0
Sample735	746	254	0	0
Sample736	770	0	230	0
Sample737	476	506	0	0
Sample738	322	697	0	0
Sample739	722	265	0	0
Sample740	689	291	0	0
Sample741	766	222	0	0
Sample742	353	389	0	274
Sample743	758	227	0	0
Sample744	848	0	0	140
Sample745	689	331	0	0
Sample746	804	0	0	176
Sample747	0	462	336	216
Sample748	271	709	0	0
Sample749	769	212	0	0
Sample750	296	502	230	0
Sample751	772	246	0	0
Sample752	410	0	562	0
Sample753	696	290	0	0
Sample754	745	241	0	0
Sample755	866	0	0	119
Sample756	776	224	0	0
Sample757	316	667	0	0
Sample758	307	678	0	0
Sample759	646	203	0	173
Sample760	751	0	234	0
