Iteration	L1	L1 %	L2	L2 %	KL Divergence
479	1.898	14.393	0.351	17.198	0.02
480	1.896	14.363	0.352	17.207	0.02
481	1.805	13.646	0.341	16.795	0.019
482	1.842	13.94	0.346	17.055	0.02
483	1.809	13.675	0.34	16.709	0.019
484	1.94	14.663	0.358	17.598	0.021
485	1.871	14.172	0.347	16.976	0.02
486	1.828	13.833	0.341	16.711	0.019
487	1.852	14.027	0.346	16.912	0.02
488	1.881	14.218	0.356	17.368	0.021
489	1.809	13.695	0.34	16.632	0.019
490	1.903	14.381	0.358	17.484	0.019
491	1.821	13.727	0.339	16.594	0.019
492	1.874	14.161	0.351	17.048	0.02
493	1.862	14.082	0.347	17.144	0.021
494	1.831	13.871	0.345	16.971	0.02
495	1.8	13.642	0.341	16.672	0.019
496	1.833	13.901	0.344	16.82	0.019
497	1.842	13.966	0.349	16.958	0.02
498	1.87	14.165	0.354	17.351	0.02
499	1.857	14.048	0.341	16.853	0.02
500	1.888	14.294	0.346	16.942	0.02
501	1.905	14.418	0.353	17.164	0.02
502	1.876	14.189	0.341	16.726	0.02
503	1.852	14.029	0.352	17.093	0.02
504	1.802	13.643	0.336	16.334	0.018
505	1.9	14.387	0.354	17.382	0.02
506	1.887	14.259	0.354	17.312	0.021
507	1.811	13.733	0.337	16.58	0.019
508	1.829	13.82	0.345	16.841	0.019
509	1.888	14.303	0.348	17.031	0.02
510	1.869	14.128	0.345	16.989	0.02
511	1.862	14.133	0.345	16.988	0.02
512	1.781	13.444	0.34	16.654	0.018
513	1.894	14.321	0.344	16.881	0.02
514	1.865	14.151	0.355	17.344	0.02
515	1.917	14.503	0.349	17.086	0.02
516	1.899	14.37	0.351	17.209	0.02
517	1.881	14.186	0.351	17.22	0.02
518	1.921	14.536	0.366	17.825	0.021
519	1.857	14.082	0.344	16.758	0.02
520	1.913	14.488	0.352	17.196	0.021
521	1.937	14.651	0.364	17.76	0.021
522	1.905	14.446	0.352	17.207	0.02
523	1.878	14.24	0.345	16.943	0.02
524	1.89	14.334	0.356	17.464	0.02
525	1.883	14.299	0.344	16.914	0.02
526	1.985	15.027	0.37	18.0	0.021
527	1.885	14.268	0.342	16.879	0.02
528	1.842	13.949	0.345	17.043	0.019
529	1.891	14.357	0.347	17.093	0.02
530	1.838	13.89	0.344	16.727	0.019
531	1.919	14.523	0.361	17.519	0.02
532	1.792	13.545	0.346	16.921	0.019
533	1.824	13.794	0.339	16.578	0.019
534	1.793	13.576	0.342	16.639	0.019
535	1.91	14.481	0.361	17.533	0.019
536	1.867	14.109	0.351	17.084	0.02
537	1.888	14.262	0.345	16.942	0.02
538	1.863	14.13	0.347	17.069	0.019
539	1.847	13.973	0.333	16.436	0.019
540	1.828	13.824	0.345	16.91	0.02
541	1.852	14.021	0.343	16.825	0.02
542	1.952	14.746	0.355	17.331	0.021
543	1.823	13.799	0.345	16.863	0.019
544	1.921	14.542	0.358	17.506	0.021
545	1.844	13.974	0.34	16.577	0.019
546	1.825	13.771	0.349	17.027	0.02
547	1.897	14.376	0.359	17.476	0.02
548	1.906	14.431	0.352	17.396	0.021
549	1.977	14.941	0.366	17.91	0.021
550	1.906	14.446	0.348	17.133	0.021
551	1.84	13.941	0.344	16.823	0.02
552	1.894	14.345	0.356	17.454	0.021
553	1.904	14.423	0.345	17.016	0.02
554	1.922	14.542	0.356	17.341	0.021
555	1.855	14.037	0.342	16.76	0.019
556	1.791	13.57	0.334	16.491	0.019
557	1.856	14.045	0.346	16.939	0.02
558	1.862	14.089	0.352	17.239	0.02
559	1.887	14.271	0.35	17.216	0.021
560	1.843	13.966	0.344	16.895	0.019
561	1.871	14.15	0.347	16.798	0.02
562	1.891	14.276	0.35	17.069	0.02
563	1.877	14.237	0.342	16.788	0.02
564	1.83	13.864	0.337	16.545	0.019
565	1.882	14.213	0.353	17.252	0.02
566	1.892	14.284	0.353	17.233	0.021
567	1.83	13.849	0.343	16.817	0.019
568	1.863	14.117	0.346	16.937	0.02
569	1.858	14.052	0.34	16.596	0.019
570	1.86	14.099	0.342	16.782	0.02
571	1.856	14.105	0.341	16.773	0.02
572	1.876	14.225	0.349	17.097	0.02
573	1.822	13.78	0.339	16.724	0.019
574	1.909	14.39	0.353	17.227	0.02
575	1.924	14.599	0.356	17.417	0.021
576	1.904	14.406	0.357	17.457	0.02
577	1.82	13.772	0.347	16.925	0.019
578	1.862	14.106	0.349	16.97	0.02
579	1.895	14.343	0.353	17.273	0.02
580	1.924	14.557	0.361	17.602	0.021
581	1.875	14.188	0.349	17.106	0.02
582	1.869	14.133	0.346	17.014	0.02
583	1.857	14.045	0.346	16.837	0.02
584	1.85	14.011	0.347	16.909	0.02
585	1.853	14.034	0.345	16.89	0.02
586	1.804	13.627	0.338	16.5	0.019
587	1.903	14.39	0.353	17.262	0.02
588	1.844	13.995	0.344	16.903	0.02
589	1.832	13.864	0.342	16.817	0.019
590	1.902	14.413	0.352	17.238	0.02
591	1.847	13.968	0.344	16.799	0.02
592	1.865	14.081	0.347	16.973	0.019
593	1.751	13.253	0.336	16.423	0.018
594	1.922	14.564	0.365	17.804	0.021
595	1.872	14.179	0.343	16.91	0.02
596	1.925	14.611	0.353	17.388	0.021
597	1.871	14.179	0.353	17.224	0.02
598	1.85	14.006	0.352	17.135	0.019
599	1.87	14.168	0.344	16.863	0.02
600	1.854	14.038	0.351	17.083	0.02
601	1.888	14.294	0.344	16.93	0.019
602	1.864	14.134	0.346	17.012	0.02
603	1.858	14.07	0.345	16.895	0.02
604	1.959	14.845	0.359	17.491	0.021
605	1.816	13.727	0.334	16.435	0.019
606	1.898	14.361	0.355	17.347	0.02
607	1.91	14.476	0.349	17.262	0.02
608	1.86	14.043	0.339	16.562	0.019
609	1.882	14.243	0.355	17.402	0.021
610	1.896	14.355	0.353	17.251	0.02
611	1.885	14.281	0.352	17.159	0.02
612	1.868	14.139	0.355	17.456	0.02
613	1.851	13.979	0.347	16.851	0.02
614	1.819	13.777	0.334	16.389	0.019
615	1.819	13.754	0.337	16.475	0.019
616	1.869	14.155	0.347	16.993	0.02
617	1.84	13.933	0.34	16.619	0.02
618	1.863	14.087	0.348	17.068	0.019
619	1.901	14.372	0.359	17.435	0.02
620	1.894	14.33	0.347	16.893	0.02
621	1.879	14.2	0.349	16.994	0.02
622	1.839	13.944	0.341	16.823	0.02
623	1.867	14.12	0.34	16.68	0.02
624	1.87	14.177	0.355	17.349	0.02
625	1.817	13.761	0.34	16.709	0.019
626	1.783	13.46	0.333	16.233	0.019
627	1.891	14.296	0.351	17.204	0.02
628	1.845	13.99	0.34	16.681	0.02
