Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample80	2789	0.999	129.7	4.65%	22.963	4.251%	0.0041
Sample81	2820	0.999	127.82	4.533%	22.323	4.084%	0.0041
Sample82	2846	0.999	130.202	4.575%	22.837	4.14%	0.0042
Sample83	2880	0.999	128.837	4.474%	23.023	4.117%	0.0041
Sample84	2916	0.999	130.473	4.474%	23.322	4.114%	0.004
Sample85	2957	0.999	131.032	4.431%	24.188	4.199%	0.0039
Sample86	2992	0.999	139.564	4.665%	25.569	4.387%	0.004
Sample87	3016	0.999	136.866	4.538%	24.562	4.176%	0.0038
Sample88	3051	0.999	131.614	4.314%	23.655	3.971%	0.0036
Sample89	3082	0.999	127.679	4.143%	22.949	3.812%	0.0034
Sample90	3109	0.999	128.275	4.126%	23.256	3.823%	0.0033
Sample91	3142	0.999	121.273	3.86%	21.512	3.499%	0.0032
Sample92	3171	0.999	118.312	3.731%	20.568	3.314%	0.0031
Sample93	3201	0.999	122.857	3.838%	20.62	3.29%	0.0031
Sample94	3237	0.999	125.715	3.884%	21.352	3.367%	0.0032
Sample95	3267	0.999	124.846	3.821%	21.353	3.334%	0.0031
Sample96	3293	0.999	126.739	3.849%	21.248	3.29%	0.0031
Sample97	3322	0.999	129.507	3.898%	21.574	3.31%	0.0031
Sample98	3371	0.999	121.191	3.595%	21.093	3.192%	0.0026
Sample99	3412	0.999	120.979	3.546%	21.515	3.216%	0.0025
Sample100	3440	0.999	124.477	3.619%	22.486	3.333%	0.0025
Sample101	3470	0.999	126.743	3.653%	22.752	3.343%	0.0026
Sample102	3505	0.999	130.908	3.735%	23.1	3.358%	0.0026
Sample103	3532	0.999	134.747	3.815%	23.374	3.372%	0.0027
Sample104	3560	0.999	143.804	4.039%	25.447	3.645%	0.0026
Sample105	3604	0.999	139.891	3.882%	24.815	3.512%	0.0024
Sample106	3635	0.999	140.077	3.854%	25.115	3.522%	0.0024
Sample107	3665	0.999	145.787	3.978%	26.379	3.668%	0.0025
Sample108	3693	0.999	150.968	4.088%	27.128	3.739%	0.0025
Sample109	3719	0.999	152.46	4.099%	26.334	3.602%	0.0026
Sample110	3766	0.999	142.998	3.797%	25.318	3.422%	0.0023
