Samples	Signature A
Sample1402	52304
Sample1403	52344
Sample1404	52370
Sample1405	52398
Sample1406	52476
Sample1407	52505
Sample1408	52546
Sample1409	52576
Sample1410	52606
Sample1411	52649
Sample1412	52696
Sample1413	52725
Sample1414	52754
Sample1415	52797
Sample1416	52843
Sample1417	52871
Sample1418	52900
Sample1419	52939
Sample1420	52972
Sample1421	53004
Sample1422	53076
Sample1423	53162
Sample1424	53201
Sample1425	53227
Sample1426	53267
Sample1427	53297
Sample1428	53339
Sample1429	53363
Sample1430	53401
Sample1431	53430
Sample1432	53458
Sample1433	53481
Sample1434	53522
Sample1435	53552
Sample1436	53579
Sample1437	53610
Sample1438	53638
Sample1439	53661
Sample1440	53691
Sample1441	53727
Sample1442	53758
Sample1443	53784
Sample1444	53822
Sample1445	53859
Sample1446	53892
Sample1447	53930
Sample1448	53957
Sample1449	53985
Sample1450	54013
Sample1451	54060
Sample1452	54089
Sample1453	54116
Sample1454	54166
Sample1455	54194
Sample1456	54222
Sample1457	54246
Sample1458	54321
Sample1459	54351
Sample1460	54389
Sample1461	54416
Sample1462	54492
Sample1463	54512
Sample1464	54541
Sample1465	54564
Sample1466	54593
Sample1467	54670
Sample1468	54701
Sample1469	54731
Sample1470	54760
Sample1471	54781
Sample1472	54822
Sample1473	54903
Sample1474	54939
Sample1475	54965
Sample1476	55010
Sample1477	55051
Sample1478	55080
Sample1479	55107
Sample1480	55133
Sample1481	55205
Sample1482	55234
Sample1483	55260
Sample1484	55287
Sample1485	55317
Sample1486	55345
Sample1487	55388
Sample1488	55419
Sample1489	55446
Sample1490	55472
Sample1491	55545
Sample1492	55581
Sample1493	55619
Sample1494	55699
Sample1495	55727
Sample1496	55754
Sample1497	55786
Sample1498	55815
Sample1499	55841
Sample1500	55880
Sample1501	55919
Sample1502	55995
Sample1503	56029
Sample1504	56063
Sample1505	56092
Sample1506	56167
Sample1507	56187
Sample1508	56265
Sample1509	56292
Sample1510	56320
Sample1511	56353
Sample1512	56376
Sample1513	56406
Sample1514	56431
Sample1515	56460
Sample1516	56489
Sample1517	56520
Sample1518	56552
Sample1519	56575
Sample1520	56651
Sample1521	56680
Sample1522	56758
Sample1523	56789
Sample1524	56863
Sample1525	56892
Sample1526	56918
Sample1527	56945
Sample1528	57020
Sample1529	57048
Sample1530	57087
Sample1531	57120
Sample1532	57148
Sample1533	57324
Sample1534	57369
Sample1535	57404
Sample1536	57435
Sample1537	57465
Sample1538	57495
Sample1539	57525
Sample1540	57550
Sample1541	57579
Sample1542	57660
Sample1543	57699
Sample1544	57726
Sample1545	57756
Sample1546	57793
Sample1547	57820
Sample1548	57892
Sample1549	57915
Sample1550	57939
Sample1551	58012
Sample1552	58188
Sample1553	58228
Sample1554	58269
Sample1555	58343
Sample1556	58356
Sample1557	58382
Sample1558	58411
Sample1559	58451
Sample1560	58480
Sample1561	58506
Sample1562	58532
Sample1563	58567
Sample1564	58743
Sample1565	58782
Sample1566	58823
Sample1567	58876
Sample1568	58905
Sample1569	58935
Sample1570	58971
Sample1571	59002
Sample1572	59084
Sample1573	59113
Sample1574	59166
Sample1575	59189
Sample1576	59239
Sample1577	59279
Sample1578	59321
Sample1579	59352
Sample1580	59380
Sample1581	59417
Sample1582	59446
Sample1583	59476
Sample1584	59513
Sample1585	59542
Sample1586	59583
Sample1587	59610
Sample1588	59692
Sample1589	59709
Sample1590	59748
Sample1591	59779
Sample1592	59822
Sample1593	59854
Sample1594	59882
Sample1595	59921
Sample1596	59953
Sample1597	59991
Sample1598	60020
Sample1599	60073
Sample1600	60108
Sample1601	60135
Sample1602	60162
Sample1603	60192
Sample1604	60229
