Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample291	10476	1.0	190.457	1.818%	28.38	1.412%	0.0008
Sample292	10507	1.0	186.638	1.776%	28.009	1.389%	0.0008
Sample293	10585	1.0	169.012	1.597%	25.457	1.254%	0.0007
Sample294	10614	1.0	168.164	1.584%	24.828	1.219%	0.0007
Sample295	10640	1.0	164.698	1.548%	24.112	1.181%	0.0007
Sample296	10673	1.0	171.751	1.609%	25.995	1.27%	0.0007
Sample297	10700	1.0	174.507	1.631%	26.278	1.28%	0.0007
Sample298	10708	1.0	176.5	1.648%	26.578	1.295%	0.0007
Sample299	10739	1.0	172.141	1.603%	25.92	1.259%	0.0007
Sample300	10756	1.0	171.436	1.594%	25.756	1.249%	0.0007
Sample301	10799	1.0	181.415	1.68%	27.662	1.335%	0.0007
Sample302	10827	1.0	183.062	1.691%	28.25	1.359%	0.0007
Sample303	10855	1.0	182.92	1.685%	27.932	1.341%	0.0007
Sample304	10891	1.0	182.837	1.679%	28.219	1.35%	0.0007
Sample305	10927	1.0	191.119	1.749%	29.291	1.396%	0.0007
Sample306	10967	1.0	200.205	1.826%	31.435	1.492%	0.0008
Sample307	11000	1.0	194.776	1.771%	29.943	1.418%	0.0007
Sample308	11031	1.0	194.465	1.763%	29.867	1.41%	0.0008
Sample309	11061	1.0	193.849	1.753%	29.971	1.411%	0.0008
Sample310	11090	1.0	197.469	1.781%	30.033	1.41%	0.0008
Sample311	11117	1.0	195.367	1.757%	29.619	1.387%	0.0007
Sample312	11158	1.0	187.059	1.676%	28.909	1.349%	0.0007
Sample313	11181	1.0	192.902	1.725%	29.199	1.36%	0.0007
Sample314	11258	1.0	175.652	1.56%	26.992	1.249%	0.0007
Sample315	11287	1.0	175.389	1.554%	26.7	1.232%	0.0007
Sample316	11316	1.0	180.037	1.591%	27.48	1.265%	0.0007
Sample317	11346	1.0	188.443	1.661%	28.91	1.327%	0.0007
Sample318	11390	1.0	184.789	1.622%	28.413	1.3%	0.0007
Sample319	11420	1.0	181.655	1.591%	27.667	1.262%	0.0007
Sample320	11493	1.0	166.965	1.453%	26.343	1.195%	0.0007
Sample321	11517	1.0	166.289	1.444%	26.412	1.195%	0.0006
Sample322	11558	1.0	166.184	1.438%	26.036	1.174%	0.0006
Sample323	11589	1.0	168.076	1.45%	26.332	1.184%	0.0007
Sample324	11629	1.0	173.72	1.494%	26.856	1.203%	0.0007
Sample325	11658	1.0	170.325	1.461%	26.417	1.18%	0.0007
Sample326	11690	1.0	171.367	1.466%	26.708	1.189%	0.0007
Sample327	11719	1.0	165.457	1.412%	25.956	1.153%	0.0007
Sample328	11762	1.0	169.094	1.438%	25.808	1.142%	0.0007
Sample329	11798	1.0	178.197	1.51%	26.861	1.185%	0.0007
Sample330	11824	1.0	175.244	1.482%	26.537	1.168%	0.0007
Sample331	11909	1.0	176.305	1.48%	27.203	1.19%	0.0006
Sample332	11981	1.0	173.099	1.445%	26.47	1.152%	0.0006
Sample333	12022	1.0	185.798	1.545%	28.577	1.239%	0.0006
Sample334	12049	1.0	182.485	1.515%	27.932	1.208%	0.0006
Sample335	12127	1.0	195.558	1.613%	30.996	1.332%	0.0007
Sample336	12204	1.0	197.276	1.616%	31.51	1.347%	0.0007
Sample337	12235	1.0	195.411	1.597%	31.101	1.326%	0.0007
Sample338	12279	1.0	206.148	1.679%	32.559	1.385%	0.0008
Sample339	12310	1.0	206.726	1.679%	33.147	1.406%	0.0008
Sample340	12340	1.0	201.068	1.629%	31.949	1.352%	0.0008
Sample341	12377	1.0	196.105	1.584%	31.02	1.308%	0.0007
Sample342	12447	1.0	197.045	1.583%	31.659	1.329%	0.0008
Sample343	12479	1.0	198.697	1.592%	32.019	1.341%	0.0008
Sample344	12509	1.0	195.766	1.565%	31.186	1.302%	0.0008
Sample345	12549	1.0	204.422	1.629%	32.532	1.354%	0.0008
Sample346	12590	1.0	217.029	1.724%	34.3	1.422%	0.0008
Sample347	12617	1.0	217.033	1.72%	34.14	1.412%	0.0008
Sample348	12691	1.0	228.712	1.802%	35.774	1.472%	0.0008
Sample349	12734	1.0	228.551	1.795%	35.435	1.454%	0.0008
Sample350	12760	1.0	222.886	1.747%	34.487	1.412%	0.0008
Sample351	12787	1.0	217.998	1.705%	33.667	1.375%	0.0008
Sample352	12862	1.0	222.932	1.733%	34.171	1.389%	0.0008
Sample353	12890	1.0	227.25	1.763%	35.324	1.433%	0.0008
Sample354	12933	1.0	242.794	1.877%	38.06	1.538%	0.0009
Sample355	12971	1.0	242.831	1.872%	38.084	1.534%	0.0009
Sample356	12996	1.0	234.448	1.804%	37.05	1.49%	0.0008
Sample357	13024	1.0	225.81	1.734%	35.822	1.437%	0.0008
Sample358	13071	1.0	227.729	1.742%	36.212	1.448%	0.0008
Sample359	13108	1.0	237.916	1.815%	36.973	1.474%	0.0008
Sample360	13139	1.0	234.254	1.783%	36.308	1.443%	0.0008
